dt,new_member_payment,old_member_payment,repurchase_member_cnt,repurchase_payment,new_members,new_purchasers,consume_member_cnt,arpu,arpu_ratio
2019/12/7,,,,,1421058,1,,,
2019/12/8,,,,,1363439,1,,,
2019/12/9,,,,,660103,1,,,
2019/12/10,,,,,6034,1,,,
2019/12/11,,,,,8186,1,,,
2019/12/12,,,,,6739,1,,,
2019/12/13,,,,,3572,1,,,
2019/12/14,,,,,4284,1,,,
2019/12/15,,,,,4979,1,,,
2019/12/16,,,,,3772,1,,,
2019/12/17,,,,,3055,1,,,
2019/12/18,,,,,3201,1,,,
2019/12/19,,,,,4399,1,,,
2019/12/20,,,,,3434,1,,,
2019/12/21,,,,,5057,1,,,
2019/12/22,,,,,4297,1,,,
2019/12/23,,,,,3353,1,,,
2019/12/24,,,,,3882,1,,,
2019/12/25,,,,,3987,1,,,
2019/12/26,,,,,4122,1,,,
2019/12/27,,,,,4186,1,,,
2019/12/28,,,,,4658,1,,,
2019/12/29,,,,,4629,1,,,
2019/12/30,,,,,3832,1,,,
2019/12/31,,,,,4456,1,,,
2020/1/1,,,,,6120,1,,,
2020/1/2,,,,,5407,1,,,
2020/1/3,,,,,5639,1,,,
2020/1/4,,,,,12002,1,,,
2020/1/5,,,,,12074,1,,,
2020/1/6,,,,,7816,1,,,
2020/1/7,,,,,8900,1,,,
2020/1/8,,,,,17844,1,,,
2020/1/9,,,,,13155,1,,,
2020/1/10,,,,,10518,1,,,
2020/1/11,,,,,11129,1,,,
2020/1/12,,,,,12145,1,,,
2020/1/13,,,,,11765,1,,,
2020/1/14,,,,,11955,1,,,
2020/1/15,,,,,12118,1,,,
2020/1/16,,,,,16697,1,,,
2020/1/17,,,,,17421,1,,,
2020/1/18,,,,,18117,1,,,
2020/1/19,,,,,18124,1,,,
2020/1/20,,,,,20820,1,,,
2020/1/21,,,,,25863,1,,,
2020/1/22,,,,,29981,1,,,
2020/1/23,,,,,42417,1,,,
2020/1/24,,,,,59904,1,,,
2020/1/25,,,,,40336,1,,,
2020/1/26,,,,,45075,1,,,
2020/1/27,,,,,42409,1,,,
2020/1/28,,,,,37555,1,,,
2020/1/29,,,,,34015,1,,,
2020/1/30,,,,,36300,1,,,
2020/1/31,,,,,46632,1,,,
2020/2/1,,,,,32598,1,,,
2020/2/2,,,,,28901,1,,,
2020/2/3,,,,,21434,1,,,
2020/2/4,,,,,26867,1,,,
2020/2/5,,,,,24360,1,,,
2020/2/6,,,,,21676,1,,,
2020/2/7,,,,,32391,1,,,
2020/2/8,,,,,18537,1,,,
2020/2/9,,,,,17157,1,,,
2020/2/10,,,,,16629,1,,,
2020/2/11,,,,,15996,1,,,
2020/2/12,,,,,12810,1,,,
2020/2/13,,,,,10268,1,,,
2020/2/14,,,,,24010,1,,,
2020/2/15,,,,,13869,1,,,
2020/2/16,,,,,13705,1,,,
2020/2/17,,,,,11105,1,,,
2020/2/18,,,,,11669,1,,,
2020/2/19,,,,,14720,1,,,
